pax	PABGS
toenail	TO*E/TPHAEUL, TOE/TPHAEUL
tropic	TROP/EUBG
asymmetric	AS/PHET/REUBG, AEUS/PHET/REUBG
infamous	EUPB/TPA/PHOUS, EUPB/TPAPL/US, EUPB/TPAPL/OUS
sack	SABG
not aware	TPHOT/A/WAEU/WAEUR
sedimentary	SED/-PLT/REU, SED/*PLT/REU
nabbing	TPHAB/-G
oxygenase	OPBLG/TPHAEUZ, OPBLG/TPHAEUS
reaming	RAOEPL/-G
serration	SE/RAEUGS, SER/RAEUGS, SRAEUGS
colors	KHRORS, KHRORGS, KOL/ORS
readiest	RED/KWR*ES
Jury was duly sworn and impaneled	SWERPBLG, SKWRURPBLD
oasis	OE/AEU/SEUS, OE/AEUS/EUS, O/AEU/SEUS, OE/AEUS/SEUS, O/WAEU/SEUS, O*E/AEU/SEUS
Bork	PWO*RBG
kapow	KA/POU
firmed	TPEURPLD
Astor	AFT/OR, AS/TOR
flourished	TPHROR/EURB/-D
slinks	SHREUPB/-BGS
glued	TKPWHRAOUD
trick-or-treat	TREUBG/OR/TRAOET
bisphosphate	PWEUS/TPOS/TPAEUT, PW*EUS/TPOS/TPAEUT
Manama	PHA/TPHA/PHA
Ventolin	SREPBT/OL/EUPB
splatter	SPHRAT/*ER, SPHRAT/ER
coal	KOEL
Monty Python	PHOPBT/KWREU/PAOEU/THOPB, PHOPBT/KWREU/PAO*EUT/O*PB, PHOPBT/KWREU/PAO*EUT/OPB
yearned	KWRERPBD
sadomasochist	SAEU/TKO/PHAS/K*EUS, SA/TKO/PHAS/K*EUS, SAEUD/KWRO/PHAS/KEUFT
chock	KHOBG
unfriendly	UPB/TPREPBD/HREU
broads	PWRODZ
economy	AOE/KOPB/PH*EU, KPHE, KPHEU, EBG/KOPB/PH*EU
hitches	HEUFPS
Sabina	SA/PWEU/TPHA
prefabricates	PRE/TPAB/KAEUT/-S, PRAOE/TPAB/KAEUTS
deadline	TKED/HRAO*EUPB, TKED/HRAOEUB, TKED/HRAOEUPB
South Beach	SO*UT/PWAEFP
nascent	TPHAS/EPBT, TPHAS/KREPBT, TPHAEUS/SEPBT, TPHAEUS/EPBT, TPHAEUFPBT, TPHAEU/SEPBT, TPHAEUS/KREPBT, TPHAS/SEPBT
sleazier	SHRAOEZ/KWRER
Erasmus	AOE/RAS/PHUS, ER/AS/PHUS
hauled	HAUL/-D, HA*ULD
compensation	KPEPBGS/AEUGS, KPEPBS/AEUGS, KPEPBGS, KOFRP/EPB/SAEUGS, KEPBS/AEUGS, KPEPB/SAEUGS, KOPL/PEPB/SAEUGS, KPHEPBS/AEUGS, KOFRP/SAEUGS
Michigan	PH*EU, PHEURB/TKPWAPB, PHEUFPLT
ramucirumab	RAPL/SEUR/PHAB
steatorrhea	STAOET/SKWRO/RAOE/KWRA, STAOET/RAOE/KWRA
obliterated	OB/HREUT/RAEUT/-D, OE/HREUT/RAEUT/-D, OE/PWHRAEUT/RAEUT/-D
iMax	KWR*EU/PHABGS
dippier	TKEUP/KWRER
manliest	PHAPB/HREU/*ES
flocked	TPHROBGD
levering	HR*EFR/-G, HR*EF/ERG, HRAO*EF/ER/-G, HRAO*EF/ERG, HR*EF/ER/-G, HRAO*EFR/-G
{^n}	*PB
pre- and	PRE/SKP
{^penia}{,}	PAOEPB/KWRARBGS
storming	STORPLG, STORPL/-G
coag	KOEG, KOE/AG
payment	PAEUPLT, PAEULT, PAEUPL
manatee	PHAPB/KWRA/TAOE, PHA/TPHA/TAOE
recommends	REPLDZ, REPLS, REPL/-S, REBG/PHEPBDZ
laywoman	HRAEU/WOPL
Ceylon	KRAEU/HROPB, SAEU/HROPB
subscriptions	AUB/SKREUPGS/-S
carboxypeptidase	KARB/OBGS/KWREU/PEPT/TKAEUS, KARB/OBGS/KWREU/PEP/TAOEUD/AEUZ
stereoscopic	STAOER/KWROE/SKOP/EUBG, STER/KWRO/SKO/EUBG
semantics	SPHAPBT/EUBGS, SE/PHAPB/TEUBGS, SPHAPT/EUBGS
scissor	SEUS/O*R, SKEUS/O*R, S*EUFR
non prosequitur	TPHOPB/PRO/SAOEBG/WEU/TUR, TPHOPB/PRO/SE/KWEU/TUR, TPHOPB/PRO/SEBG/WEU/TUR, TPHOPB/PRO/SAOE/KWEU/TUR
adherent	AED/HAOERPBT, AD/HERPBT, AD/HAOER/EPBT, A*D/HAOERPBT, AD/HAOERPBT, TKAOERPBT, STKAOERPBT
Machiavellian	PHABG/SREL/KWRAPB, PHABG/KWRA/SREL/KWRAPB
resold	RAOE/SOELD, RE/SOELD
cervicoocclusal	SEFRB/KO/KHRAOUFL
harmed	HARPL/-D, HARPLD
{^itious}	EURBS
kilogram	KEUL/HRO/TKPWRAPL, K*EUL/TKPWRAPL, KEUL/TKPWRAPL, K-G, K*G, K*EUG/TKPWRAPL
anaphase	A/TPHA/TPAEUZ, APB/TPAEUZ
necrophilism	TPHE/KROF/HREUFPL
runabout	RUPB/A*EU/PWOUT, RUPB/A*BT
Noriega	TPHOR/KWRAEU/TKPWA, TPHOR/KWRAEUG/TKPWA
The Three Musketeers	-T/THRAOE/PHUS/KET/AO*ER/-S
plasterers	PHRAFT/ER/ERS
instructed	EUPB/STRUBGD, STROUBGTS/-D
topples	TOPLS, TOP/*L/-S
land in	TPHRAPBD
clipboard	KHREUP/PWORD, KHREUP/PWAORD
alcoholic beverage	KHROEUPBLG
occurrences	OE/KURPBS/-S
abomination	AB/OPL/TPHAEUGS, A/PWOPL/TPHAEUGS
graft	TKPWRAFT
inescapable	EUPB/ES/KAEUPBL, EUPB/ES/KAEUP/-BL
unlucky	UPB/HREUBG/KWREU
superstitious	SAOUP/STEURBS, SAO*UP/STEURB/OUS, SAO*UP/STEURBS
hourly	HOURL, HOUR/HREU
Basecamp	PWAEUS/KA*PL
to lectin	TO/HREBGT/*EUPB
nephews	TPHE/TPAOUS, TPHEF/TPAOU/-S
Sunil	SAOU/TPHEUL
radials	RAEUD/KWRALS, RAEUD/KWRAL/-S
endo	OEUPBD, OEUPBDZ, TKO*EUPBD
littler	HREUT/HRER, HREUT/-L/ER
ladies and gentlemen of the jury	HRAEURPBLG
{sterno^}	STERPB/SKWRO, 12ER7B/SKWRO
goody	TKPWAOD/TKEU, TKPWAO/TKEU
sparked	SPARBG/-D, SPARBGD
bossiness	PWOS/SEU/*PBS, PWOS/*PBS
medical	PHED/K-L, PHED/TK-L, PHED/KAL, PHETD/K-L
osmotic	OT/PHOT/EUBG, OS/PH-T/EUBG, OS/PHOT/EUBG
assistant	SEUFPBT, AS/SEUS/TAPBT, A/SEUFT/TAPBT, A/SEUFPT/APBT, A/SEUS/APBT, A/SEUFT/APBT, A/SEUFPBT, A/SEUS/TAPBT, A/SEUFT/APBS/APBT, S-S/TAPBT
Teehan+Lax	TAOE/HAPB/HRABGS
Expo	*EBGS/PO, *EBGS/POE
trap	TRAP
crystals	KREUS/TALS, KREUFT/A*LS
writing	WRAOEUG, WRAO*EUG, WREUG, WRAOEULT/-G, WRAO*EUGT, WRAOEUT/-G
printwheel	PREUPBT/WHAOEL
dismisses	TKEUS/PHEUS/-S
and remember	SKP-RPL
perpendicular	PERP/KHRAR, PER/PEUPB/TKEUBG/KWRAOU/HRAR, PERP/TKEUBG/HRAR, PERP/TKEUBG/KWRU/HRAR, PHR*R, PHR-R, PER/PEPB/TKEU/KHRAR, PER/PEPB/TKEUBG/KWRU/HRAR, PHRARP, PERP/TKHRAR, PER/PEPB/TKEUBG/HRAR, PERP/TKEUBG/KWRAOU/HRAR, PER/PEPB/TKEUBG/KWRAOU/HRAR
antibody	A*EUPBT/PO*ED, A*PBT/PWO*ED, A*EUPBD/PWO*ED, A*EUPBLT/PWO*ED, TPHAOEBD, TPHOEBGDZ, TPHO*EBD
McNemar	PH-BG/TPHAOEPL/*ER
nebulizer	TPHEB/HRAOEURZ, TPHEB/HRAOEUZ/*ER
squarest	SKWAEUR/*ES
agencies	SAEUGT/AEU/-S, AEUGT/SEUS, AEUPBLGT/SEUS, AEUGT/SKEU/-S, AEUGT/SEU/-S
irregularity	EUR/REG/HRART, EUR/REG/KWRAOU/HRAR/TEU, EUR/REG/HRAEURLT, EUR/REG/HRAR/TEU, EUR/REG/HRAEUR/TEU, EUR/REG/TEU, EUR/REG/KWRAOU/HRAEUR/TEU, EUR/REG/AEURT, EUR/REG/KWRU/HRAR/TEU, EUR/REG/KWRU/HRAEUR/TEU, EUR/REG/HRAEURT
pharaonic	TPAEUR/O*PB/EUBG
monies	PHOPB/KWREU/-S
or altered	OR/AULT/*ER/-D
windiness	WEUPB/TKEU/*PBS
ping-pong	PEUPBG/POPBG
turn	TURPB
palpate	PAL/PAEUT, PAL/TPAEUT/PA*EUT, PAP/PAEUT
wavier	WAEUF/KWRER, WA*EF/KWRER
{sino^}	SAOEUPB/SKWRO
statistical	STA/TEUFT/KAL, STEUBGS/K-L, STA/T*EUS/EUBG/KAL, ST*EUBG/K-L, SEUBGS/A*L, STATS/K-L, STEUBGS/A*L, STA/T*EUS/KAL, STA/TEUS/TEU/KAL, ST*BGS/K-L, STA/TEUS/TEUBG/KAL, ST*EUBGS/K-L, ST*EUBGS/A*L, STA*EUBGS/A*L, STA/TEUFT/K-L
lobotomized	HROE/PWOT/PHAOEUZ/-D
{&P.}	P*FPLT
very geometric	SRE/SKWRAOEPL/TREUBG
Gann	TKPWA*PB
chondroitin	KHOPB/TKROEUT/*EUPB, KHOPB/TKROEUD/*EUPB, KOPB/TKROEUD/*EUPB, KOPB/TKROEUT/*EUPB, KAUPB/TKROEUT/*EUPB
De Niro	TKE/TPHAOER/O*, TKE/TPHAOE/ROE, TKE/TPHAOER/RO
pudgier	PUD/SKWREU/ER, PUPBLG/KWRER
sesters	SES/TER/SES
insects	EUPB/SEBGTS
bib	PWEUB
Tobago	TO/PWAEU/TKPWOE, TOE/PWAEU/TKPWOE
Olympian	OE/HR*EUPL/KWRAPB
hidden	HEUD/*EPB, HEUTD/*EPB, HEUD/EPB, HEUD/TKEPB, HEUD/-PB
malleable	PHAL/HRABL, PHAL/-BL, PHAL/KWRABL, PHAL/HRAOEBL
bird	PWEURD
holiday{.}	HOL/TKAEUFPLT
misfire	PHEUS/TPAOEUR
specifically	SPE/SEUF/KHREU, SPEFPBLG, SPEFPBL, SPEFPBG/HREU, SPEFLG, SPE/SEUFBG/HREU, SP-FBG/HREU, SPE/SEUF/EUBG/HREU, SPEFBLG, SPEFL, SPEFBG/HREU
contractility	KRA*BGT/EULT
relieving	RE/HRAOEFG, RAOE/HRAOEFG, RE/HREFG
bubbliness	PWUB/HREU/*PBS
theatricality	THAOERT/KAL/TEU, THAOERT/KALT
more albuterol	PHOR/AL/PWAOUT/ROL
umbra	UPL/PWRA
receivable	SAOEFRBL, SRAOEFBL, SAOEF/-FBL, SAOEFBL, SEFBL, SPAOEFBL, RE/SAO*EF/-BL, SRAOEF/-BL, RE/SAO*EFBL, SEF/-BL
arrest	A*EURS, A/REFT
Augustine	AUG/US/TAOEPB, AUG/STAOEUPB, OUG/AOEUPB
sadden	SAD/*EPB, SAD/TKEPB, SAD/-PB, SAD/EPB
{^iation}	KWRAEUGS
dangerous weapons	TKWREPS
Zolpidem	SO*EP/TKEPL, SO*L/PEUD/EPL
examine	EBGS/APL/*EUPB, EBGS/APL/EUPB, KP-PB, KP*PL, EBGS/APL/-PB, KP, KPAPL/PHEUPB, KPAPL/-PB, EBGS/APL/PHEUPB
melting	PHELT/-G
find that it's	TPHAOEUPBD/T-S
bargain	PWAR/TKPWAEUPB, PWAR/TKPWAPB, PWARG/AEUPB, PWAR/TKPWEUPB, PWAR/TKPWEUPBS, TKPWARG/AEUPB, PWAR/TKPWEPB
bedraggled	PWE/TKRAG/-LD, PWE/TKRAG/*L/-D
gluttonous	TKPWHRUT/TPHOUS
mentionable	PHEPBGS/-BL
dingdong	TKEUPBG/TKOPBG
summative	SEUPL/TEUF, SUPL/TEUF
hip	HEUP
rates	RAEUTSZ, RAEUTS, RAEUT/-S
attain	A/TAEUPB
immobilization	EUPL/PHOEBL/SAEUGS
bottle	PWOT/*L, PWOT/-L, PWO*LT
suppositories	SPOS/TOERS
rooster	RAOFT/*ER, RAOFRT, RAOS/TER
unfinished	UPB/TPERPD/EURBD, UPB/TPEUPB/EURBD, UPB/TPEUPB/EURB/-D
casing	KAEUS/-G
barometer	PWROPLT/*ER, PWA/ROPL/TER, PWROPL/TER, PWROPLT
endangering	EPB/TKAEUPBLG/-G, EPB/TKAEUPBG/ERG, EPB/TKAEUPB/SKWRER/-G
philander	TPEUL/APB/TKER, TPEUL/APBD/*ER, TPHRAPBD/ER, TPEU/HRAPB/TKER, TPHRAPB/TKER, TPEU/HRAPBD/ER, TPEUL/APBD/ER
thirsty	TH*EURS/TEU, THEURS/TEU, THUFRT/KWREU, THURS/TEU
ninety-nine	TPHAOEUPBT/TPHAOEUPB
catheters	KA*T/TERS
closing argument	KHRARGT
skilled	SKEUL/-D, SKEULD
East Germany	AO*ES/SKWRERPL/TPH*EU
investigative	EUPB/SR*ES/TKPWAEU/T*EUF, SREGT/TEUF, EUPB/SRES/TEU/TKPWAEUT/*EUF, EUPB/SR*ES/TKPWAEUT/*EUF, TPH*FS/TKPWAEUT/*EUF, EUPB/SRES/TEU/TKPWAEU/T*EUF, TPH*FS/TKPWAEU/T*EUF
frogs	TPROGS
methaqualone	PHE/THA/KWA/HROEPB, PH*ET/KWA/HROEPB, PH*ET/KWAEU/HROEPB, PH*ET/ABG/WA/HROEPB, PH*ET/ABG/KWA/HROEPB, PH*ET/KWAU/HROEPB, PHE/THABG/WA/HROEPB
coeducation	KO/EPBLG/KAEUGS
yourselfer	KWRO*URS/ER
combustibility	KOPL/PW*US/-BLT, KPW*US/-BLT, KOPL/PWUS/TEUBLT
gaudier	TKPWAUD/KWRER
tit	TEUT
squirm	SKWEURPL
acclimatization	ABG/KHRAOEUPL/TAOEU/SA*EUGS, ABG/HRAOEUPL/TEU/SA*EUGS, ABG/HRAOEUPLT/SA*EUGS, ABG/KHRAOEUPL/TEU/SA*EUGS
mores	PHOR/RAEUZ, PHOE/RAEUZ, PHOR/AEUZ, PHOR/AOEZ, PHOE/REZ, PHOER/AEUZ, PHOE/RAEU/-S, PHO/RAEUZ, PHOER/AOEZ
commemorating	KPHEPL/RAEUT/-G
Rembrandt	REPL/PWRAPBT, REPL/PWRAPT
sinner	SEUPB/ER
connive	KAUPB/TPHAOEUF, KOPB/TPHAO*EUF
Tutsi	TAOUT/SAOE, TUT/SAOE
hypotheticals	HAOEUP/THET/KALS
Delmar	TKEL/PHAR
oiliness	OEUL/HREU/*PBS
Amnest	APL/TPHEFT
composing	KPOES/-G, KPOEFG
{~|'^}burbs	AE/PWURB/-S
16:00	1K-6, 1-6BG
plantar	PHRAPBT/A*R, PHRAPB/TAR
chervil	KHER/SREUL
[	PWR-BT
to do the same	TO/TKOT/SAEUPL
incerta	EUPB/KERT/SKWRA, EUPB/KERT/KWRA
to ease	TO/AOEZ
kaffeeklatsch	KAUF/TPAOE/KHRAFP, KAF/TPAOE/KHRAFP
recency	RE/SEPB/SEU, RE/KREPB/SEU, RE/SEPBS/KWREU, RAOES/EPB/SEU
frontispiece	TPROPBT/EUS/PAOES, TPROPB/EUS/PAOES
triad	TRAO*EUD, TREU/KWRAD, TRAOEU/AD, TR*EU/A*D, TR*EU/KWRAD, TR*EU/AD, TRAOEU/KWRAD
want to invite	WAEUPB/SRAOEUT
Tyson	TAOEUS/O*PB, TAOEUFPB
parens	PA/REPBZ
judicially	SKWRAOU/TKEURBL/HREU, SKWRAOU/TKEURB/HREU, SKWRAOUD/EURBL/HREU
lentiform	HREPBT/TPORPL
Elvis	*EL/SREUS, EL/SREUS
homebuyer	HOEPL/PWAOEUR
degenerative	TKAOE/SKWREPB/RA/TEUF, TKEPBLG, TKE/SKWREPB/RAT/EUF, TKE/SKWREPB/T*EUF, TKE/SKWREPB/RAT/*EUF, TKE/SKWREPBT/RAT/EUF
ammo	APL/PHOE
atom	A/TOPL, AT/OPL, TOPLT
proponents	PRO/POEPB/EPBTS, PRO/POEPB/EPBT/-S, PROE/POEPBTS
salutation	SAL/KWRAOU/TAEUGS, SAL/KWRU/TAEUGS, SAL/AOUT/AEUGS, SAL/TAEUGS, SHRAOUT/AEUGS
that side	THADZ
potassium	PAFPL, POET/AS/KWRUPL, POE/A/TAS/KWRUPL, POE/TASZ/KWRUPL, PO*EUPL, POE/TAFPL, PO/TAS/KWRUPL, POEUPL, PO/TASZ/KWRUPL, POE/TAS/KWRUPL
motile	PHOET/AOEUL, PHOE/TAOEUL, PHO*ELT
ceramicist	SRAPL/EUS/EUFT
Artiles	AR/TAOEL/ES
Tiananmen	TAOEPB/PH*EPB
mistake	PHAEUZ/TAEUBG, SPHA*EUFBG, PHEUZ/TAEUBG, SPHA*EUBG, PHEUZ/STAEUBG, SPHAEUBG
papers	PAEUP/ERS, PAEUPS, PAEUP/*ER/-S
{^ess}	*ES
Andorra la Vella	APB/TKOER/RA/HRA/SREL/HRA, APB/TKOR/RA/HRA/SREL/HRA
lay-person	HRAEU/P*ERPB
hope so	SHOEP
carriage	KAR/APBLG, KAR/REUPBLG, KAEUR/APBLG, KAEURPBLG, KAEUR/RAPBLG, KAR/RAPBLG, KAEUR/EUPBLG
with a spirometer	WA*EU/SPEUR/OPL/TER
AI	A*EUP
straggly	STRAG/HREU
enumerator	AOE/TPHAOUPL/RAEU/TOR, AOE/TPHAOUPL/RAEUT/TOR
sell it{,}	SEL/T-RBGS
Thames River	TEPLS/REUFR
importune	EUPL/POR/KHUPB, EUPL/POR/TAOUPB
thank you	THAUPBG, THAUPG, THAUG, THA*UPBG, THAOUPBG
emerald	EPL/RALD, EPL/RAULD
arthritises	A*RT/REUT/TEU/-S
evacuates	AOE/SRABG/WAEUTS
deodorizers	TKE/OED/RAOEUZ/ERS, TKOED/RAOEUZ/ERS
coercion	KOE/ERGS, KW*ERGS, KO/ERGS
{^time}	TAO*EUPL
capability	KPAEUBLT, KPAEUP/-BLT, KAEUBLT, KAEUP/-BLT, KAEUPBLT
gulped	TKPWUL/-PD
pawnee	PAU/TPHAOE
coronation	KOR/RO/TPHAEUGS, KOR/TPHAEUGS, KO*R/TPHAEUGS, KO/RO/TPHAEUGS
Chester	KHEFT/*ER, KH*ES/ER, KHEFRT, KHES/TER
flashlights	TPHR-LTS, TPHRARB/HRAOEUTS
tippee	TEUP/PAOE
misled	PHEUS/HRED
played	PHRAEU/-D, PHRAEUD
bogus	PWOEG/US, PWOEG/KWRUS, PWOEG/SKWRUS, PWOE/TKPWUS
Bram Stoker	PWRAPL/STOEBG/*ER
OkCupid	OBG/KAOUPD
simile	SEUPL/HRE, SEUPL/PHEU/HREU, SEUPL/HRAOE
flavor	TPHRA*EUF/SROR, TPHRAEUFR, TPHRAEU/SROR
chairs	KHAEURS
dimerize	TKAOEUPL/*ER/AOEUZ
hogwash	HOG/WARB
unsatisfied	UPB/SAED, UPB/SAEF/-D
prenup	PRE/TPH*UP, PRE/TPHUP
trapshooting	TRAP/SHAOT/-G
hydroxy compound	HAOEURD/OBGS/KWREU/KPOUPBD
portobello	PORT/PWEL/HROE
Hello, Dolly	HEL/HROE/KW-BG/TKOL/KWREU
Ranvier's	RAPB/SREU/AEUS
mete	PHAO*ET
kettle	K*ELT, KET/-L, KET/*L
envisioning	EPB/SREUGS/-G
infectible	EUPB/TPEBGT/-BL
spasmodically	SPAZ/PHOD/EUBG/HREU, SPAZ/PHOD/KHREU, SPAS/PHOD/KHREU, SPAS/PHOD/EUBG/HREU
parching	PAR/-FPG
fibric	TPAOEURB/REUBG, TPAOEUB/REUBG, TPAOEURB/EUBG
posthumously	POFT/HAOUPL/SHREU, POFT/HAOUPL/US/HRAOE, PO*S/HAOUPL/SHREU, POEFT/HAOUPLS/HREU, POS/TAOUPL/SHREU, POS/KHAOUPL/SHREU, POFT/PHOUS/HREU
deficiencies	TKAO*ERBS, TKAO*ERB/-S, TKAOE/TPEURB/SEUS, TKE/TPEURB/SEUS, TKPE/TPEURB/SEU/-S, TKE/TPEURBT/SEU/-S
Liam	HRAOE/KWRAPL, HRAOEPL
propionic	PROP/KWROPB/EUBG
pate	PAEUT, PA/TAEU
fill	TPEUL
ventricular fibrillation	SHRA*EURBGS
arteriosum	AR/TAOER/KWROES/SKWRUPL
abciximab	AB/SEUBGS/PHAB, AB/SEUS/PHAB
characterizes	KRAR/AOEUSZ, KARBG/TRAOEUZ/-Z
bedpan	PWED/PA*PB, PWED/PAPB
Brien	PWRAOEU/*EPB
transgendered	TRAPBZ/SKWREPBD/*ER/-D, TRAPBS/SKWREPBD/*ER/-D
epon	AOE/POPB
adipocytokine	AD/PO/KRAOEUT/SKWRO*/KAOEUPB
wart	WART
thoracic	THO/RAS/EUBG, THRA*FBG, THOE/RAS/EUBG, THOR/AS/EUBG, THRAFPBG, THRABG, THRAFBG, THRAS/EUBG, THRA*BG
consolidate	KO*EUL, KAUPBS/OL/TKAEUT, KO*L, KAUPB/SOL/TKAEUT, KOPB/SOL/TKAEUT
exceedingly	EBGS/AOED/TKPWHREU, EBGS/SAOED/-G/HREU, EBGS/SAOED/TKPWHREU
men's	PHEPBS/AE, PHEPB/AES
Geomakers	SKWRO*EU/PHAEURBGS
freewheeling	TPRAOE/WHAOELG
stabilizer	STAEUBL/AOEUZ/ER, STAEUB/HRAOEUZ/ER, STAEUBL/AOEUZ/*ER
mercapto	PHER/KAP/TO
bolsters	PWO*LS/ERS, PWO*ELS/ERS
specular	SPEBG/HRAR
icon	AOEUBG/O*PB, AOEUBG/KOPB, AOEU/KOPB
droplet	TKROP/HRET, TKRO*P/HR*ET
turns	TURPS, TURPB/-S, TURPBS
gravitates	TKPWRAF/TAEUTS
esprit de corps	ES/PRAOE/TKE/KOERP, ES/PREU/TKE/KOER, ES/PRAOE/TKE/KOERPZ, ES/PREU/TKE/KOR, ES/PREU/TKE/KOERPZ, ES/PRAOE/TKE/KORPS, ES/PRAOE/TKE/KOER, ES/PREU/TKE/KOERP
implications	EUPL/PHREUBGS/-S
usage	AOUS/APBLG, KWRAOUS/APBLG, AO*UPBLG, AOUFPBLG, KWRAOUZ/APBLG
fortuny	TPOR/TAOUPB/TPHEU, TPOR/TPAOUPB/TPHEU
fractal	TPRABGT/A*L
Steinbeck	STAOEUPB/PWEBG
Abercrombie	AB/*ER/KROPL/PWEU, ARB/KROPL/PWEU
unalterable	UPB/ALT/RABL
marksmen	PHARBGS/PH*EPB, PHARBG/-S/PHEPB, PHARBGS/PHEPB
degustation	TKE/TKPWUFT/TAEUGS
photons	TPO/TOPBS, TPO/TOPB/-S, TPOE/TOPBS
interiority	EUPB/TAOER/KWRORT
brainless	PWRAEUPB/-LS
yap	KWRAP
halcyon	HALS/KWROPB
blinked	PWHREUPB/-BGD
glyceryl	TKPWHREUS/REUL
mathematical	PHA*T/PHAT/K-L, PHAT/PHAT/K-L, PHA*T/PHAT/KAL
patriarchal	PAEU/TRARBG/KAL, PAEU/TRAOE/AR/KAL, PAEU/TREU/AR/KAL, PAEU/TRAR/KAL, PAEUT/RAR/KAL, PAEU/TRAOE/ARBG/KAL, PAEU/TREU/ARBG/KAL, PAEUT/RARBG/KAL, PAEUT/REU/ARBG/A*L, PAEUT/RAOE/AR/KAL, PAEUT/REU/AR/KAL
Anglo	APBG/HROE, APBG/HRO, AEUPBG/HROE
Haversian	HA/SRERGS
plumper	PHRUPL/PER, PHR*UPL/*ER
Nostradamus	TPHOS/TRA/TKAPL/SKWRUS
brokering	PWROEBG/ER/-G, PWROEBG/ERG
readme	RAED/PHAO*E
semiconductor	SEPL/KOPB/TKUBGT/O*R, SPHEU/KOPB/TKUBGT/O*R, SEPL/AOEU/KOPB/TKUBGTD/TOR
lichenoid	HRAOEUBG/*EPB/OEUD
shampoo	SHAOPL/PAO, SHAPL/PAO
authentically	AU/THEPBT/KHREU, AU/THEPB/TEUBG/HREU, AUT/EPBT/KHREU, AU/THEPB/KHREU, A*UT/KHREU, AU/THEPBT/EUBG/HREU, A*UT/EPBT/KHREU
vaporizes	SRAEUP/O*R/AOEUZ/-Z, SRAEUP/RAOEUZ/-Z
party-pooper	PAERT/PAOP/*ER
glazier	TKPWHRAEU/SH*ER, TKPWRAZ/KWRER, TKPWRAZ/KWRER/WAS, TKPWHRAEUZ/KWRER
sari	SAR/SKWREU, SAR/KWREU
shinbone	SHEUPB/PWOEPB
consternation	KAUPBS/TEU/TPHAEUGS, KO*PBS/TPHAEUGS, KAUPBS/TER/TPHAEUGS, KAUPB/STEU/TPHAEUGS, KOPB/STER/TPHAEUGS, KAUPB/STER/TPHAEUGS, KOPBS/TER/TPHAEUGS, KO*PBS/ER/TPHAEUGS
as the Dark Age	SAZ/TKARBG/AEUPBLG
Alphonse	AL/TPOPBS
trousseaux	TRAOU/SOEZ
New York Post	TPHO*RBG/POEFT
high-density lipoprotein	H*LD
Edward	*ED/WARD, ED/WARD
yards	KWRARDZ, KWRARD/-S
cynical	SEUPB/K-L, SEUPB/EUBG/KAL, SEUPB/KAL
Suez	SAOU/EZ, SAOU/WEZ, SU/EZ
amino acid	A/PHO*EUP/SA*EUD, PHA*EUD, A/PHO*EUB/SA*EUD, A/PHO*EUPB/SA*EUD, 340*EU7B/15*EUD, 340*EU7B/SA*EUD, TPHA*FD
fibrotic	TPAOEURB/OT/EUBG, TPAOEUB/ROT/EUBG
blissful	PWHREUFL, PWHREUS/-FL
C.I.A	KR-FPLT/A*EU
much as	PHUFPS
hungered	HUPB/TKPWER/-D
DIYAbility	TKA*BLT
topsy-turvy	TOP/SEU/TUR/SREU
normally the	TPHO*LT
populate	POP/KWRAOU/HRAEUT, POP/RAEUT/HRA*EUT, PO*P/HRAEUT, POPLT, POP/KWRU/HRAEUT, POP/HRAEUT
Athens	A*T/*EPBS, AT/*EPBS, A*T/-PBZ, A*T/*EPB/-S, A*T/-PBS
blastocyst	PWHRAFT/KREUFT
migrate	PHAOEU/TKPWRAEUT, PHAOEUG/RAEUT, PHAOEURG/A*T
summarize	SUPL/PHA/RAOEUZ, SUPL/RAOEUS, SUPL/RAOEUZ
{^-D}	TK-RBGZ
mortgage	PHORG/APBLG, PHOR/TKPWAPBLG, PHORT, PHORT/TKPWAPBLG
dander	TKAPBD/*ER, TKAPB/TKER, TKAPBD/ER
swerve	SW*EFRB, SWER/-F, SWER/*F, SWEFRB
shrugging	SHR*UG/-G
loaf	HRAOF, HROEF
old-timers	OLD/TAOEUPL/ERS, OELD/TAOEUPL/ERS
email	AOE/PHAEUL, AOE/PHAEULT
DAT	TKA*T
Wall Street	WAUL/STPRAOET, WAUL/STRAOET
mistral	PH*EUS/RAL, PHEUS/TRAL
Sebastian	SEB/AFT/KWRAPB, SPWAFT/KWRAPB, SE/PWAFT/KWRAPB
7-zip	-7/S*EUP
friendly	TPREPBLD, TPREPBD/HREU, TPREPBD/REU
cemetery	SEPL/TAEUR, S*EPL/TA*ER, SEPL/TREU, SEPL/TAER, SEPL/TA*ER, SEPLT/REU, SEPL/TER/KWREU, SEPLT/AER, SEPL/TER
invokes	EUPB/SROEBGS
palato	PA*LT/SKWRO
flip	THREUP, TPHREUP
Dodge	TKO*PBLG
lumborum	HRUPL/PWOR/SKWRUPL, HRUPL/PWORPL
feathers	TP*ET/ERS
demonstrations	TKEPL/STRAEUGS/-S
anaesthetist	STPH*ET/EUFT, APB/ES/TEUFT
patella	PA/TEL/A, PA/TEL/HRA
permeates	PERPL/KWRAEUTS
Lehman Brothers	HRA*EU/PHA*PB/PWROER/-S
booyah	PWAO/KWRA
with regard to	WROERD
Trafalgar	TRA/TPAL/TKPWAR
inconstant	EUPB/KAUPB/STAPBT
